City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Waycross,US,2022-05-12 20:29:36,31.2136,-82.354,82.45,50,100,9.22
160,Wundanyi,KE,2022-05-12 20:30:56,-3.4019,38.364,61.5,85,83,8.28
161,Bereda,ES,2022-05-12 20:30:57,43.2686,-7.5406,55.58,94,98,5.32
162,Bilma,NE,2022-05-12 20:30:57,18.6853,12.9164,87.93,12,0,11.27
163,East London,ZA,2022-05-12 20:27:57,-33.0153,27.9116,65.61,82,0,9.98
164,Moravske Budejovice,CZ,2022-05-12 20:30:58,49.0521,15.8086,64.45,77,70,4.76
165,Hobyo,SO,2022-05-12 20:30:58,5.3505,48.5268,81.97,83,78,25.12
166,Road Town,VG,2022-05-12 20:28:28,18.4167,-64.6167,80.64,78,40,14.97
167,Sangar,RU,2022-05-12 20:30:59,63.9242,127.4739,34.39,95,100,6.91
168,Gizo,SB,2022-05-12 20:30:59,-8.103,156.8419,82.49,73,97,5.57
169,Tiarei,PF,2022-05-12 20:31:00,-17.5333,-149.3333,84.22,70,10,17.9
170,Mahibadhoo,MV,2022-05-12 20:31:00,3.7833,72.9667,82.58,81,84,20.65
171,Bambanglipuro,ID,2022-05-12 20:30:34,-7.95,110.2833,77.97,89,37,3.44
172,Nhamunda,BR,2022-05-12 20:31:00,-2.1861,-56.7131,79.84,86,100,1.34
173,Kruisfontein,ZA,2022-05-12 20:31:01,-34.0033,24.7314,54.88,89,4,7.31
174,Hobart,AU,2022-05-12 20:27:44,-42.8794,147.3294,49.01,94,0,3.44
175,Dhidhdhoo,MV,2022-05-12 20:31:01,6.8833,73.1,82.47,78,64,19.24
176,Portland,US,2022-05-12 20:28:13,45.5234,-122.6762,52.38,84,100,12.66
177,Garowe,SO,2022-05-12 20:31:02,8.4054,48.4845,84.18,57,100,11.52
178,Tudela,ES,2022-05-12 20:31:02,42.0617,-1.6045,70.7,43,100,6.08
179,Poum,NC,2022-05-12 20:31:02,-20.2333,164.0167,76.28,72,100,33.4
180,Klaksvik,FO,2022-05-12 20:32:03,62.2266,-6.589,43.72,65,91,23.64
181,Taltal,CL,2022-05-12 20:30:50,-25.4,-70.4833,64.38,70,24,2.86
