City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Avera,US,33.194,-82.5271,75.25,56,100,2.48,overcast clouds
183,Bandarbeyla,SO,9.4942,50.8122,80.74,86,10,20.07,clear sky
184,Takoradi,GH,4.8845,-1.7554,79.56,84,100,3.85,overcast clouds
185,Canelli,IT,44.7215,8.2924,64.54,75,97,4.7,overcast clouds
186,Ewa Beach,US,21.3156,-158.0072,84.15,45,40,14.97,scattered clouds
187,Kalemie,CD,-5.9475,29.1947,70.03,81,26,2.59,scattered clouds
188,Camopi,GF,3.1655,-52.3158,73.6,99,100,2.37,moderate rain
189,Cherskiy,RU,68.75,161.3,27.37,86,99,20.58,overcast clouds
190,Otuzco,PE,-7.9,-78.5833,52.32,83,95,1.57,light rain
191,Taoudenni,ML,22.6783,-3.9836,82.72,9,40,11.36,scattered clouds
192,Aklavik,CA,68.2191,-135.0107,29.75,69,100,5.48,overcast clouds
193,Belyy Yar,RU,53.6039,91.3903,53.49,47,0,4.47,clear sky
194,Dingle,PH,10.9995,122.6711,84.29,70,55,4.68,moderate rain
195,Salimpur,IN,28.128,76.2766,89.29,19,0,9.93,clear sky
196,Hobart,AU,-42.8794,147.3294,64.22,61,75,3.0,broken clouds
197,Merauke,ID,-8.4667,140.3333,83.07,64,17,6.22,few clouds
198,Adre,TD,13.4667,22.2,78.96,58,100,17.78,overcast clouds
199,Nome,US,64.5011,-165.4064,35.67,69,100,9.22,overcast clouds
200,Klyuchevskiy,RU,53.5317,119.4519,48.42,37,23,3.85,few clouds
201,Salalah,OM,17.0151,54.0924,82.49,61,3,2.3,clear sky
202,Cabo San Lucas,MX,22.8909,-109.9124,94.3,32,40,16.11,scattered clouds
203,Haikou,CN,20.0458,110.3417,80.73,94,20,4.47,few clouds
204,Baghdad,IQ,33.3406,44.4009,67.91,28,0,8.05,clear sky
205,Leshukonskoye,RU,64.8989,45.7622,44.58,97,94,6.71,light rain
206,Qasigiannguit,GL,68.8193,-51.1922,26.85,88,18,5.37,few clouds
207,Tura,IN,25.5198,90.2201,76.41,96,86,8.28,overcast clouds
208,Kure,JP,34.2333,132.5667,65.52,49,100,1.39,light rain
209,Nishihara,JP,26.1842,127.7558,74.48,97,100,16.11,light intensity shower rain
210,Kaitangata,NZ,-46.2817,169.8464,52.92,69,60,5.73,broken clouds
211,Constitucion,CL,-35.3333,-72.4167,52.18,58,0,5.55,clear sky
212,Flin Flon,CA,54.7682,-101.865,34.32,97,100,10.58,overcast clouds
213,Hokitika,NZ,-42.7167,170.9667,58.77,95,100,4.88,overcast clouds
214,Chokurdakh,RU,70.6333,147.9167,19.31,87,100,1.9,overcast clouds
215,Zemio,CF,5.0314,25.1361,67.62,97,57,2.66,broken clouds
216,Tiznit,MA,29.5833,-9.5,65.93,66,82,3.2,broken clouds
217,Bredasdorp,ZA,-34.5322,20.0403,52.09,87,0,3.06,clear sky
218,Mao,ES,39.8885,4.2658,63.16,82,0,4.61,clear sky
219,Skibbereen,IE,51.55,-9.2667,48.36,87,33,4.7,scattered clouds
220,Hasaki,JP,35.7333,140.8333,63.0,64,100,16.71,overcast clouds
221,Torbay,CA,47.6666,-52.7314,33.39,90,40,5.99,scattered clouds
222,Krasnyye Barrikady,RU,46.2045,47.8535,59.0,88,0,6.71,clear sky
223,Mutsu,JP,41.2894,141.2169,55.58,62,100,14.7,overcast clouds
224,Saint George,US,37.1041,-113.5841,94.42,6,0,7.0,clear sky
225,Isla Mujeres,MX,21.2311,-86.731,80.65,67,0,9.86,clear sky
226,Alto Araguaia,BR,-17.3147,-53.2153,71.13,61,27,0.94,scattered clouds
227,Muros,ES,42.7762,-9.0603,64.83,77,100,16.89,overcast clouds
228,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,17.27,scattered clouds
229,Omboue,GA,-1.5746,9.2618,77.83,92,100,4.54,overcast clouds
230,Tecoanapa,MX,16.5167,-98.75,84.27,70,100,9.08,overcast clouds
231,Vredendal,ZA,-31.6683,18.5012,53.42,63,0,3.38,clear sky
232,Eyl,SO,7.9803,49.8164,82.29,71,12,15.05,few clouds
233,Messina,IT,38.1933,15.5497,66.78,56,0,11.5,clear sky
234,Kodiak,US,57.79,-152.4072,53.11,40,20,12.66,few clouds
235,Mbini,GQ,1.574,9.6134,78.94,87,100,5.61,overcast clouds
236,Hofn,IS,64.2539,-15.2082,41.14,91,100,13.22,overcast clouds
237,Whyalla,AU,-33.0333,137.5833,64.76,52,0,16.31,clear sky
238,Meulaboh,ID,4.1363,96.1285,79.05,88,100,0.83,overcast clouds
239,Itoman,JP,26.1247,127.6694,75.22,96,75,16.11,heavy intensity shower rain
240,Pemangkat,ID,1.1667,108.9667,82.45,71,88,4.5,overcast clouds
241,Mega,ET,4.05,38.3,56.5,91,84,10.89,broken clouds
242,Riohacha,CO,11.5444,-72.9072,87.91,62,20,13.8,few clouds
243,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,0,5.75,clear sky
